id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
54sF0MCxn3B80ZzaPrlUX2,Praia de Jacumã,MC Cego Abusado,119431,18,0.897,0.735,6,-6.11,0,0.118,0.111,0.0,0.253,0.86,151.967,0,1.9905166666666667
2Xbm1GS9hBtMzaZ9oqzfHd,Senta Bem,MC Cego Abusado,167366,17,0.84,0.64,3,-3.323,0,0.189,0.000613,0.0,0.0536,0.923,159.949,0,2.789433333333333
2Bv3w0y9BlOOfdpJeQ7h45,Encaixada,Mc Troia,162063,21,0.865,0.785,6,-5.468,1,0.257,0.381,3.19e-05,0.237,0.962,169.909,0,2.70105
1DnJXw2RjFSCl40OVBrT1R,Liga no Chefe,MC Reizin,148218,0,0.767,0.655,11,-6.606,1,0.0624,0.442,0.000635,0.263,0.764,170.022,0,2.4703
2xb3PnT4FD9Tlt6GLTVu8P,Não Tem Como Resistir,MC Reizin,197052,46,0.759,0.669,1,-8.605,0,0.0595,0.175,0.0,0.143,0.661,95.007,0,3.2842
2sWJR5MPYJBCds5s23LRcv,Sentando Sem Compromisso,MC Delta,108773,0,0.776,0.534,8,-6.291,1,0.212,0.374,2.29e-05,0.0628,0.858,170.312,0,1.8128833333333334
5OQsIXDfhQQ2m878QhhnGf,Baile da Gaiola,Mc Daninho,159888,0,0.901,0.526,11,-5.496,0,0.207,0.402,6.96e-05,0.0362,0.939,82.55,0,2.6648
77oqowFEYWlp6muEaSxRb2,Deixo Você Me Empurrar,Mc Princy,188029,0,0.739,0.931,10,-0.787,1,0.212,0.1,0.0,0.183,0.859,81.526,0,3.1338166666666667
7IFXlwyHqQ6VMtWLfjDUqZ,Jatada de Leite,Mc Abalo,139067,18,0.833,0.835,10,-3.463,1,0.229,0.147,0.0,0.13,0.46,163.996,0,2.3177833333333333
1demYeXXPs57J5gVw10Ks4,Tem Que Bater,MC Sapão do Recife,151719,0,0.857,0.822,0,-4.621,1,0.259,0.315,0.00032,0.109,0.668,172.608,0,2.52865
163SqUJ9bGYp6YY8CQo9wF,Malicinha,MC V2,149864,32,0.854,0.775,5,-6.566,0,0.0856,0.214,0.0,0.307,0.962,82.511,0,2.497733333333333
1tySLODkG7TjlMuNGhV0IW,Baile da Gaiola 2,Mc Daninho,151327,26,0.895,0.718,1,-5.484,0,0.265,0.111,0.0,0.0851,0.841,82.491,0,2.522116666666667
0WMlpkJQTjHrEpm1uu8mLV,Levada Envolvente,Mc Romântico,146912,8,0.745,0.651,5,-5.592,0,0.0392,0.237,0.0,0.0768,0.966,164.992,0,2.4485333333333332
0Q4idwgYziQYhsUd0aabDU,Maceta Ela,MC Reizin,156969,25,0.614,0.516,7,-7.455,1,0.112,0.519,8.91e-05,0.175,0.911,169.237,0,2.61615
4cIdaiHn6sV7OdkQdBOdxV,Mamando Ela Foi,MC Timbu,137012,0,0.756,0.664,5,-5.402,1,0.15,0.536,0.0,0.078,0.766,169.882,0,2.283533333333333
4lcb6qq4iVEfx0U0FGbdNi,Eu Botei no Cú e Saiu na Boca,MC Timbu,144000,0,0.717,0.575,6,-7.105,0,0.198,0.77,1.45e-06,0.0968,0.689,130.321,0,2.4
2PS5KKCWgKYGlBgEJRY1La,Eu Botei no Cu e Saiu na Boca,MC Timbu,130063,0,0.876,0.934,8,-0.639,0,0.401,0.743,0.0,0.511,0.895,99.775,0,2.1677166666666667
0moTJnRHi6fNWG7luim3Jh,O Tamanho da Minha Pica Deixou a Novinha Louca,MC Timbu,141662,0,0.615,0.608,4,-4.802,1,0.559,0.179,1.78e-06,0.218,0.794,178.906,0,2.3610333333333333
74AbkJbOHBIb6LNKIzVWWk,Tô Fora de Laço,MC Taizinho,185885,13,0.666,0.5,7,-8.549,1,0.567,0.0294,0.0,0.0703,0.684,94.417,0,3.0980833333333333
3CcYGz9arTJCKDpZuivWXL,Os Faixa Preta Vai Passar,ELLY,133642,18,0.673,0.776,9,-4.91,1,0.406,0.055,0.000741,0.275,0.907,149.103,0,2.2273666666666667
4nVeG9irFtJfDHxLwA2wey,"Mochila Nas Costas, Radinho Na Cintura",Mc Topre,155951,0,0.679,0.913,6,-4.093,0,0.46,0.195,0.00391,0.103,0.815,81.984,0,2.5991833333333334
1ayKFais9elFBwE3zqN4Ar,Sento Com Talento,Rebecca,112000,31,0.668,0.58,11,-5.173,0,0.371,0.0273,0.0,0.0802,0.587,96.256,0,1.8666666666666667
1HEr5uCRyuuLlVCOB1RiTE,Garupa,Luísa Sonza,128067,40,0.785,0.76,6,-4.168,0,0.0438,0.175,6.25e-05,0.169,0.498,101.964,0,2.13445
220QqE38Qrmyrtyd5xqB8i,Seu Crime,Pabllo Vittar,154941,46,0.788,0.667,8,-5.215,0,0.0913,0.0944,2.68e-06,0.14,0.646,127.056,0,2.58235
3eCofNVG97J3lRyNhh0zPP,Boa Menina,Luísa Sonza,147501,46,0.819,0.565,5,-5.87,1,0.0537,0.033,6.71e-06,0.0874,0.58,89.965,0,2.45835
0HocIafyaS4C7rDGTJXYnj,Bomba Relógio,Luísa Sonza,210837,38,0.778,0.596,0,-6.779,0,0.0644,0.747,0.0,0.203,0.868,107.905,0,3.51395
2KlcjhynNLGbvyS6z5mFD8,Sexo no Vidigal,Dj Risada,179317,37,0.806,0.951,4,0.898,0,0.325,0.307,0.0,0.16,0.469,93.826,0,2.9886166666666667
5tDsDvz7BDTtiDvhWxPVk2,Ih o Carnaval Tá Vindo Ai,MC Reizin,100760,31,0.903,0.771,5,-2.919,1,0.437,0.579,0.0,0.128,0.881,103.198,0,1.6793333333333333
3BT9VGIAXeH5KRDnyqNASy,Vai Tomar Pau da Gaiola,Mc Calvin,166008,2,0.903,0.985,7,-6.834,1,0.304,0.19,0.0,0.106,0.367,150.022,0,2.7668
0PJMowBZtDaVyWD19tAUls,Vou Te Levar pro Beco,Mc Calvin,169168,1,0.834,0.897,6,-2.763,0,0.331,0.153,1.15e-06,0.178,0.615,106.012,0,2.8194666666666666
62BMP3xJ0NupOWjz1eQ0Vj,Sem Sentimento,MC Roger,156055,48,0.899,0.556,10,-3.803,0,0.397,0.167,0.0,0.0841,0.626,150.015,0,2.6009166666666665
1kg8WVYDnes58GOJgwQVFR,Os Clínicos,MC Cabelinho,154509,29,0.662,0.853,0,-4.764,1,0.445,0.291,0.0,0.116,0.524,99.626,0,2.57515
2CNDagCqnLv5WrPNC1WlvT,Sem se apegar,MC Du Black,174445,23,0.733,0.744,1,-5.896,0,0.0529,0.468,0.0,0.225,0.889,150.051,0,2.9074166666666668
4Yt9oReFfOO9tSiMOhI3nH,A Amizade Continua,MC Du Black,149600,15,0.821,0.829,3,-2.79,1,0.104,0.0508,0.0,0.214,0.647,150.044,0,2.493333333333333
76tSJsLTbSZAr2LLDY8yZh,Recaída,MC Vitinho Avassalador,145632,0,0.715,0.518,1,-6.144,1,0.0426,0.218,0.0,0.157,0.931,149.955,0,2.4272
7FFxxNZXNYIBgWOgmAfbxg,Redes Sociais,MC Luan da BS,206811,49,0.449,0.571,5,-2.457,1,0.0468,0.561,0.0,0.122,0.487,86.809,0,3.44685
3IBzeiOJO6sOnYisfMTrti,Poucas Ideias,MC Vitin LC,204230,43,0.741,0.495,10,-2.543,0,0.0457,0.511,0.0,0.103,0.608,130.04,0,3.4038333333333335
4Wm9JcZiWBvz92K9qAAdwN,Vai Rebola Vai,MC Vitin LC,151043,15,0.862,0.588,0,-2.442,0,0.0316,0.332,0.253,0.245,0.228,129.988,0,2.5173833333333335
3u2sQL7gC7EjPFM9wG4lhy,Vida Bandida,MC Pkzinho,173583,20,0.624,0.49,5,-4.336,1,0.347,0.71,0.0,0.136,0.264,82.119,0,2.89305
7vvGZq9Uky3D9Q8RSRCGt8,Ela Passa Vem,MC Pkzinho,121966,24,0.541,0.444,6,-5.226,0,0.12,0.81,1.4e-05,0.126,0.402,85.87,0,2.032766666666667
3CBo1ursYTpd9iopmuzl1a,Menina de Favela,Mc Kaio,161567,19,0.778,0.742,10,-2.546,0,0.0443,0.517,0.000107,0.132,0.431,133.086,0,2.6927833333333333
7hnW4KUpCpUKz9WsTuwE2N,Decida,Mc Kaio,105864,27,0.812,0.503,0,-5.344,1,0.0494,0.42,5.63e-06,0.0838,0.522,131.094,0,1.7644
5uLR4ooKRpumSFwG7eLQbr,Golpe em Cima de Golpe,Mc Frog,140352,13,0.894,0.437,0,-2.824,0,0.0469,0.549,8.12e-05,0.112,0.556,130.005,0,2.3392
5V6EoY1Kq9O8oOFjJjhUYn,Emocionado Emocionou,Mc Frog,139464,5,0.787,0.527,1,-1.533,0,0.0372,0.494,0.000238,0.134,0.843,130.002,0,2.3244
0EWOffv7fXGFDO6QET6C2A,Começou o Bailão,MC Arraia,156891,0,0.77,0.29,0,-11.929,1,0.0644,0.211,0.0,0.105,0.656,86.328,0,2.61485
3jdNHCyE48KnsnXaJwsFy3,Casal Bem Louco,MC Marks,131368,58,0.55,0.831,3,-0.938,0,0.0968,0.732,0.0,0.209,0.824,90.739,0,2.1894666666666667
3AHnRCZ39CfGbYRl3euaaH,Robocop,Mc Leo da Baixada,201874,0,0.642,0.578,7,-6.239,1,0.55,0.168,0.0,0.0716,0.464,87.608,0,3.3645666666666667
4fXzmcqgzhuJu9vXK64FW5,Gratidão,Mc Kelvinho,156603,0,0.777,0.559,1,-8.435,1,0.488,0.619,0.0,0.0964,0.324,163.892,0,2.61005
2TpfIIAtMFi3ta7dncAT3o,Visão de Cria,MC Rhamon,166363,46,0.77,0.603,1,-5.882,1,0.378,0.512,0.0,0.0494,0.396,175.783,0,2.7727166666666667
09pXMR38aQ3erbIzzXCvbI,Dinheiro,MC Rhamon,181002,34,0.683,0.411,9,-5.929,0,0.201,0.0397,0.0,0.123,0.765,124.957,0,3.0167
4s8qE0lKirf4epFUCJvlN0,Sem Limites,MC Rhamon,186461,0,0.858,0.558,8,-4.394,0,0.122,0.102,0.0,0.0399,0.862,86.751,0,3.107683333333333
