id,name,artists,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y,duration_min
6Fe3Flc9SjE03pqwD6PVQl,Amber,311,206973,64,0.663,0.697,0,-9.442,1,0.0473,0.156,0.0224,0.0663,0.744,166.001,1,3.44955
2eG7o3BfbzohiETArwsX1K,"Touch, Peel And Stand",Days Of The New,297146,58,0.58,0.627,11,-8.017,1,0.0316,0.05,1.68e-06,0.297,0.825,82.151,1,4.9524333333333335
2hjGuRIEfEGzQ5MEWLowiU,Cannonball,The Breeders,213693,0,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.508,1,3.56155
3LbzMtkyPGcHc6IzyKclFO,Bailando - Spanish Version,Enrique Iglesias,242426,58,0.699,0.79,7,-3.51,1,0.115,0.0501,1.81e-06,0.0309,0.959,90.922,1,4.0404333333333335
7M288uc13UNSvwOSPfuEAL,Pompeii,Ark Rhodes,173149,36,0.558,0.34,0,-3.965,1,0.0292,0.00839,0.0,0.0899,0.0584,110.072,1,2.8858166666666665
0Vqgp6a6Sj30CjBsTnCLYG,Adiós Buenos Aires,Dominic,232199,22,0.498,0.991,1,-1.466,0,0.16,0.0204,0.0,0.0942,0.76,149.929,1,3.8699833333333333
7AKebOEDMEZWMqBl4bKoYu,Chandelier,Kina Grannis,212300,48,0.514,0.206,5,-13.578,0,0.032,0.835,0.0,0.114,0.127,75.874,1,3.5383333333333336
03N2XffzJi4sInalUSYkXk,"Naive - Live At Abbey Road Studios,United Kingdom/2005 / Acoustic",The Kooks,220906,9,0.564,0.658,9,-6.708,1,0.0553,0.838,0.0,0.674,0.631,98.348,1,3.681766666666667
417iZHySvA6ToTfg5uBMx0,When I Was Your Man (feat. Fifth Harmony),Boyce Avenue,218472,0,0.404,0.237,7,-10.001,1,0.039,0.906,0.0,0.111,0.163,143.785,1,3.6412
73jLhrKOby9QOBdAdpnsOl,La Casa,Caramelos De Cianuro,268800,54,0.71,0.679,0,-8.331,1,0.0248,0.33,0.00419,0.197,0.82,108.005,1,4.48
029E08M0uTKTk4kgHrAeNF,Azul Oscuro,Zurdok,260786,0,0.34,0.839,9,-6.013,0,0.028,0.0679,0.00043,0.257,0.62,94.537,1,4.346433333333334
1hVQx6bg4uKPljAUkNjpY2,Your Song,Ellie Goulding,190346,0,0.42,0.182,10,-11.864,1,0.032,0.938,0.000237,0.164,0.434,130.081,1,3.172433333333333
1rGxG6Y5OgmSwGPRPJv9Q4,True Colours,Tom Odell,143706,58,0.518,0.126,10,-12.102,1,0.0431,0.942,0.0,0.105,0.166,75.991,1,2.3951
7vgIGcKJDS0sJLajb9iV6U,Asi Es La Vida,Glup!,203613,45,0.529,0.884,2,-6.371,1,0.0484,0.00273,1.96e-05,0.147,0.861,152.082,1,3.39355
5HMLzZJYj3gRo2ulIBSC5d,Algo Tiene,Natalie Perez,184743,0,0.61,0.687,0,-8.026,1,0.03,0.644,0.00197,0.271,0.847,88.93,1,3.07905
4e5rVnBWDSwYLSXkMO6ljE,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,Lorde,155586,41,0.574,0.569,11,-9.289,0,0.0991,0.593,0.000164,0.108,0.0604,110.994,1,2.5931
1KHGSJPHiHkG2FEGFy8fLc,Pompeii,Jasmine Thompson,179882,0,0.481,0.229,9,-8.84,1,0.0406,0.919,0.0,0.0867,0.428,127.951,1,2.9980333333333333
1MQTPiAPGHdMFVYUYWGOb3,Happy,Gardiner Sisters,152603,0,0.795,0.758,5,-3.808,0,0.186,0.371,0.0,0.0992,0.938,156.001,1,2.5433833333333333
6Pbh08Uo0o51ha2JOW8KtE,Photograph (feat. Bea Miller),Boyce Avenue,260186,0,0.717,0.32,3,-8.393,1,0.0283,0.828,0.0,0.107,0.322,107.946,1,4.336433333333333
5Xh97PTcc1LxMF8sc8Xhis,Feel It Still - Recorded at Spotify Studios NYC,Portugal. The Man,169440,35,0.746,0.511,6,-8.748,0,0.0508,0.197,0.00202,0.0589,0.865,158.007,1,2.824
3I1Q076OHNPGVsZvrZ0s7V,Pompeii - Acoustic Ballad Mix,Matt Johnson,151261,0,0.671,0.484,9,-6.7,1,0.0296,0.684,0.0,0.113,0.34,115.992,1,2.5210166666666667
4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),Luis Fonsi,228200,1,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,1,3.8033333333333332
7IQ7Tk8D6fFAgl6aL7u5ia,Rude (Acoustic),MAGIC!,223854,50,0.736,0.847,1,-4.287,1,0.0756,0.358,0.0,0.101,0.915,143.996,1,3.7309
7FnHpKPgVC6GE0RRCJNB2T,"Somewhere Only We know - Live from Spotify, London",Lily Allen,227927,47,0.349,0.33,10,-8.65,1,0.0357,0.891,3.42e-05,0.736,0.16,76.71,1,3.798783333333333
10BpvV0IRrd7D0gtHrBTN2,Rubia Sol Morena Luna,Caramelos De Cianuro,174880,56,0.544,0.758,1,-5.897,0,0.0422,0.27,0.00175,0.12,0.559,140.924,1,2.9146666666666667
2SIIuUwWHDxiv5xpMDpju6,Big Love,Gossling,233160,2,0.597,0.333,9,-10.561,1,0.0338,0.765,0.0332,0.102,0.113,159.903,1,3.886
0xAtTbEiqOQpSZhTsOregK,Enjoy The Silence,Carla Bruni,194466,0,0.354,0.264,1,-10.947,1,0.0352,0.799,1.26e-05,0.112,0.268,205.656,1,3.2411
2dOhS9p28YanQHsI2sl2Th,Feels - Acoustic,The Mistrals,214143,34,0.735,0.321,2,-6.491,1,0.0295,0.845,0.0,0.123,0.469,76.978,1,3.56905
5le0k7yvbMCHH2Xa1tEpAL,Billie Jean,Chris Cornell,281332,0,0.49,0.637,4,-4.637,0,0.0468,0.601,0.000334,0.137,0.411,137.921,1,4.688866666666667
0iqfDCsvFZr9YBwRFqnai6,Rude,Walk off the Earth,236440,30,0.703,0.475,1,-11.682,1,0.0463,0.555,0.000148,0.47,0.777,144.132,1,3.9406666666666665
67yiUTS1KFV3eGgvLNcnnq,Riptide - Live From London,Gossling,204429,27,0.526,0.41,0,-10.453,1,0.0411,0.582,0.00132,0.125,0.306,91.635,1,3.40715
