id,name,artists
0Xmbtw7NhNiDnL4BWy5wDh,Innervision,System Of A Down
28TReO2Mxk9Q3GA4K98YSz,Kill Rock 'n Roll,System Of A Down
47EqCQZG5v4o0WFMufGf5S,Cigaro,System Of A Down
6ATfHxDPIuzSAmvBMjxwJM,Prison Song,System Of A Down
1qGmxIGEuBEkj7bft72Kh0,Suite-Pee,System Of A Down
0dxPHMZTI8TWMYRucsAFNd,Attack,System Of A Down
0GrHWVTDsaWcD4nrCGr7VE,Lost In Hollywood,System Of A Down
36X2aY9u5BBTisjU5M5omG,ATWA,System Of A Down
17cKTJIWIHTeTmdgNs77DL,I-E-A-I-A-I-O,System Of A Down
1ez4uWPnJwYufNhYTLVsJr,Soldier Side,System Of A Down
249Z7XT6mf8B2zuI0RaeS0,Violent Pornography,System Of A Down
1twBt7aZiy7HWPG025QGuP,Aerials,System Of A Down
4vAHXnJ5YWLq5hbIVzZS1h,Spiders,System Of A Down
6oO7WMjD6kEvCITLbVj0mu,Hypnotize,System Of A Down
41pOIT2t1rvr2Trg1HQChZ,Radio/Video,System Of A Down
7MeXwzhSDGfqNfuFANgzVC,Toxicity,System Of A Down
1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,System Of A Down
0wzRcekWyVCSyPtlPOeJau,Go With The Flow,Queens of the Stone Age
7pm4mV2sYqyVADfNaUV2kh,Paper Cages,Franz Ferdinand
7zjupUeHyd2j2FKlmSiZlj,Come A Little Closer,Cage The Elephant
2vgfKxYkIbZ7qVUR7iNATA,The Unthinking Majority - Live,Serj Tankian
6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,The Hives
19iqWNzp5LwEdvntpEK8MP,"Steady, As She Goes",The Raconteurs
5SAUIWdZ04OxYfJFDchC7S,Smoke on the Water,Deep Purple
5ZiTzbMB53mIiP3I4uQCmt,Ritual,Ghost
1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,The Smashing Pumpkins
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,Nirvana
6EsBn1Md8C5YdbCzvwvZq8,Self Esteem,The Offspring
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So - Original Mix,Weezer
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers
0MKGH8UMfCnq5w7nG06oM5,Come As You Are,Nirvana
3zwmW1gM4E8FlHXV5nE16u,Be Yourself,Audioslave
6txWz9UapYHVxEd7dDIHXT,No Rain,Blind Melon
2B98ljvzqpCVgt5reTHq28,Better Man,Pearl Jam
5buITai6eMzU8rJonMEI6e,Glycerine - Remastered,Bush
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,The Verve
1XPta4VLT78HQnVFd1hlsK,Today,The Smashing Pumpkins
0xMEF2WiqKWTIG7Krjungw,The Distance,CAKE
3SVAN3BRByDmHOhKyIDxfC,Karma Police,Radiohead
5mkGfmJGFZpwK9nA5amOhv,Sex & Candy,Marcy Playground
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon
3LpnzPxkMI6XS4JCbhNeek,I Alone,Live
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Rage Against The Machine
57Xjny5yNzAcsxnusKmAfA,Reptilia,The Strokes
6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand
2JdzB67NvIa90K4gEZPLeX,Lump,The Presidents Of The United States Of America
37EJtTS7jT5WUyXGZzrwnI,Santa Monica,Everclear
70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers
6emdJW80SbDBMuHci8PJJn,Shine,Collective Soul
5vVmnv4EN3X2VBa5Fo3UFM,Lightning Crashes,Live
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,Candlebox
45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,Lenny Kravitz
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day
4GiVcDqNQI0fc0yYuRGH9m,Inside Out,Eve 6
6mcxQ1Y3uQRU0IHsvdNLH1,Where Is My Mind?,Pixies
5sICkBXVmaCQk5aISGR3x1,Enter Sandman,Metallica
0HDaKOlVAfUWXdFR2RhBtN,Down,311
2gANywSFYF58YFMPdDSAjC,Stand by Me,Oasis
4ReyTz0y3TGkX48wO3Llot,Epic,Faith No More
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind
2PdIo7ewQPuAsP99LVg9uy,Wrong Way,Sublime
0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys
3skn2lauGk7Dx6bVIt5DVj,Starlight,Muse
7c1Dar0pIAW7w5TzaGjt9t,Jane Says,Jane's Addiction
6ctbCIikHbC6tSOL1rewQX,Low,Cracker
0cuq829zRNq4AEdmDJA4aw,Two Princes,Spin Doctors
0z1b34WikhOH9ZxU8QDWcv,One Headlight,The Wallflowers
0ttHpMs250dpFkCYAnuhnE,Good,Better Than Ezra
4VwPsMcRt1HPVKIdcwY9Uj,Outshined - Remastered 2016,Soundgarden
2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,Hole
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Korn
1ng36571Iyov4HBxUClySn,Pepper,Butthole Surfers
4beuBXU4k3YWwVKm0PpWhv,The World I Know,Collective Soul
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit
1BExV8JprNJLvLeDE9qdEW,It's Been Awhile,Staind
2EYnvZoSEkwiC8ynBcjLyi,Swallowed - Remastered,Bush
2hx4ptqsE8dboLH3NCLmaN,Father Of Mine,Everclear
3TW48DvQ7ChwY1Yy1tkMaP,Runaway Train (2022 Remaster),Soul Asylum
5pQEExRHWM9XnghO6bhdLJ,Hey Man Nice Shot,Filter
0smyCrJiibi2uwCiq5R1vj,Save Tonight,Eagle-Eye Cherry
02lTDOxHeXTHsdwXoz6lpC,In the Meantime,Spacehog
2ouURa1AIXp3AvkS52Jry5,Every Morning,Sugar Ray
7aKWgpecgLEqisWcXPElDl,Never There,CAKE
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback
5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,Papa Roach
1OxcIUqVmVYxT6427tbhDW,Fly Away,Lenny Kravitz
1iArQTuOzxvrtniGmkyy92,Burden In My Hand,Soundgarden
6Fe3Flc9SjE03pqwD6PVQl,Amber,311
2eG7o3BfbzohiETArwsX1K,"Touch, Peel And Stand",Days Of The New
2hjGuRIEfEGzQ5MEWLowiU,Cannonball,The Breeders
3LbzMtkyPGcHc6IzyKclFO,Bailando - Spanish Version,Enrique Iglesias
7M288uc13UNSvwOSPfuEAL,Pompeii,Ark Rhodes
0Vqgp6a6Sj30CjBsTnCLYG,Adiós Buenos Aires,Dominic
7AKebOEDMEZWMqBl4bKoYu,Chandelier,Kina Grannis
03N2XffzJi4sInalUSYkXk,"Naive - Live At Abbey Road Studios,United Kingdom/2005 / Acoustic",The Kooks
417iZHySvA6ToTfg5uBMx0,When I Was Your Man (feat. Fifth Harmony),Boyce Avenue
