popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11
50,0.554,0.792,-8.166,0,0.0309,0.406,0.000665,0.315,0.537,102.042,4.2987166666666665,0,0,0,0,0,0,0,0,0,0,1
57,0.551,0.574,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,3.8668833333333335,0,0,0,0,0,0,0,0,0,1,0
65,0.755,0.553,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,4.443333333333333,0,0,0,0,0,1,0,0,0,0,0
42,0.678,0.291,-10.339,1,0.0437,0.818,6.08e-05,0.706,0.497,121.092,3.488433333333333,0,0,0,1,0,0,0,0,0,0,0
0,0.51,0.981,-3.191,0,0.0901,7.76e-05,0.00142,0.111,0.723,138.039,3.286,0,0,0,0,0,0,0,0,0,1,0
78,0.484,0.731,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,3.4046666666666665,1,0,0,0,0,0,0,0,0,0,0
73,0.871,0.346,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,3.461333333333333,0,0,0,0,1,0,0,0,0,0,0
69,0.814,0.373,-8.017,1,0.116,0.602,1.7e-05,0.0931,0.632,114.548,3.198433333333333,0,0,0,0,0,0,1,0,0,0,0
65,0.766,0.547,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,3.062,0,0,0,0,0,0,0,0,0,0,0
62,0.721,0.586,-5.999,1,0.034,0.204,2.21e-05,0.0902,0.918,176.104,3.4751,0,0,0,0,0,0,0,0,0,0,1
52,0.67,0.753,-5.058,0,0.0387,0.0208,2.74e-06,0.147,0.551,90.385,3.052666666666666,1,0,0,0,0,0,0,0,0,0,0
68,0.625,0.414,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,3.1602166666666665,0,0,0,0,0,0,0,0,0,0,0
70,0.688,0.477,-6.684,1,0.036,0.594,0.0,0.115,0.257,127.866,3.270433333333333,0,0,0,0,0,0,0,0,1,0,0
62,0.572,0.454,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,3.606433333333333,0,0,1,0,0,0,0,0,0,0,0
17,0.561,0.651,-8.25,0,0.21,0.276,0.0,0.0963,0.393,89.882,3.733433333333333,0,0,0,1,0,0,0,0,0,0,0
81,0.73,0.701,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,3.4551,0,0,0,0,1,0,0,0,0,0,0
58,0.436,0.871,-4.446,1,0.0384,0.00319,0.000473,0.114,0.71,138.743,3.8371,0,0,0,0,0,0,0,0,1,0,0
54,0.572,0.285,-12.367,1,0.0316,0.789,0.0,0.0944,0.168,88.012,3.3522666666666665,0,0,0,0,1,0,0,0,0,0,0
0,0.533,0.152,-14.996,1,0.0302,0.79,2.46e-05,0.148,0.132,143.972,4.3611,0,1,0,0,0,0,0,0,0,0,0
52,0.438,0.356,-11.448,0,0.0388,0.74,0.0,0.146,0.356,186.267,2.8832,0,0,0,0,0,0,0,1,0,0,0
48,0.57,0.271,-11.334,1,0.0304,0.82,3.27e-06,0.108,0.273,125.862,3.111,0,0,0,0,0,0,0,0,0,0,0
0,0.585,0.103,-12.682,1,0.0309,0.801,0.0,0.126,0.179,133.057,3.90225,0,0,0,0,0,0,1,0,0,0,0
47,0.305,0.275,-10.161,0,0.0358,0.791,2.95e-06,0.098,0.137,175.102,3.1434166666666665,0,0,0,0,0,0,1,0,0,0,0
62,0.717,0.32,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4.336433333333333,0,0,1,0,0,0,0,0,0,0,0
0,0.709,0.248,-9.499,1,0.0294,0.826,0.0,0.132,0.504,113.024,3.544233333333333,0,0,0,0,0,0,0,0,1,0,0
37,0.53,0.259,-13.277,1,0.0298,0.914,0.00023,0.186,0.189,105.921,4.841966666666667,0,0,0,0,0,0,1,0,0,0,0
43,0.565,0.27,-9.591,1,0.0302,0.534,0.0362,0.107,0.119,120.308,4.9971,0,0,1,0,0,0,0,0,0,0,0
54,0.488,0.931,-4.185,1,0.327,0.0907,0.0,0.446,0.823,87.33,2.507316666666666,0,0,0,0,0,0,0,0,1,0,0
52,0.329,0.92,-8.216,1,0.0752,2.17e-05,0.000115,0.351,0.318,93.078,2.5571,0,0,0,0,0,0,0,0,1,0,0
2,0.646,0.962,-4.862,1,0.0536,0.138,0.0,0.471,0.961,164.79,2.40555,0,0,0,0,0,0,0,0,1,0,0
81,0.523,0.943,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,3.002666666666667,1,0,0,0,0,0,0,0,0,0,0
81,0.55,0.917,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,2.963766666666667,0,0,0,0,0,0,0,0,0,0,0
81,0.434,0.897,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,2.7844333333333333,0,0,0,0,0,0,0,0,0,0,0
80,0.442,0.943,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,3.02555,0,0,1,0,0,0,0,0,0,0,0
80,0.643,0.849,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,2.7642166666666665,0,1,0,0,0,0,0,0,0,0,0
72,0.486,0.904,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,3.3044333333333333,0,0,0,0,0,1,0,0,0,0,0
83,0.417,0.934,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,3.504,0,0,0,0,0,0,1,0,0,0,0
12,0.502,0.912,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,5.032,1,0,0,0,0,0,0,0,0,0,0
75,0.538,0.981,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,4.257766666666667,1,0,0,0,0,0,0,0,0,0,0
0,0.549,0.888,-3.68,0,0.0291,0.0378,7.22e-06,0.156,0.386,104.976,2.95,0,0,0,0,1,0,0,0,0,0,0
0,0.545,0.892,-3.97,0,0.0336,0.044,0.00807,0.131,0.383,120.096,3.554883333333333,0,0,0,0,1,0,0,0,0,0,0
71,0.285,0.908,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4.2122166666666665,0,0,0,1,0,0,0,0,0,0,0
66,0.409,0.89,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,4.8431,0,0,0,0,0,0,0,0,0,0,0
7,0.342,0.91,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,2.772666666666667,0,0,0,1,0,0,0,0,0,0,0
0,0.505,0.96,-2.607,0,0.0475,0.00435,0.0,0.0997,0.525,135.013,4.317333333333333,0,0,0,0,1,0,0,0,0,0,0
69,0.308,0.866,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,7.302,0,1,0,0,0,0,0,0,0,0,0
84,0.574,0.913,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,3.473333333333333,0,0,0,0,0,1,0,0,0,0,0
78,0.498,0.83,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,3.858,0,0,0,0,0,1,0,0,0,0,0
73,0.451,0.889,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,2.563333333333333,1,0,0,0,0,0,0,0,0,0,0
57,0.623,0.938,-4.161,1,0.123,0.00296,0.000852,0.48,0.308,112.022,2.766,0,0,0,0,0,0,0,0,0,0,0
68,0.545,0.753,-4.618,0,0.036,0.0417,0.0,0.389,0.434,105.754,4.715766666666667,0,0,1,0,0,0,0,0,0,0,0
62,0.561,0.337,-9.272,1,0.0284,0.644,8.79e-05,0.67,0.273,109.373,4.4542166666666665,0,0,0,0,0,0,0,1,0,0,0
40,0.292,0.98,-5.588,0,0.225,0.000502,0.00126,0.988,0.517,167.889,5.47,0,0,0,1,0,0,0,0,0,0,0
49,0.307,0.815,-6.58,1,0.081,0.0489,2.56e-06,0.748,0.605,181.271,4.807333333333333,0,0,0,0,0,0,1,0,0,0,0
56,0.35,0.961,-3.055,0,0.0701,0.00034,0.0,0.129,0.585,179.061,2.3233333333333333,1,0,0,0,0,0,0,0,0,0,0
53,0.667,0.731,-8.556,1,0.0381,0.109,3e-06,0.235,0.808,123.593,3.5431,0,0,0,0,0,0,0,0,1,0,0
0,0.669,0.581,-8.786,1,0.0308,0.104,0.17,0.209,0.719,136.443,3.703333333333333,0,0,0,0,0,0,1,0,0,0,0
0,0.361,0.596,-8.152,0,0.0375,0.493,0.000138,0.162,0.574,84.847,4.174216666666666,0,0,0,0,0,1,0,0,0,0,0
58,0.704,0.903,-4.885,1,0.195,0.00149,0.0426,0.0497,0.592,91.22,3.2777666666666665,0,0,0,0,0,0,0,0,0,0,0
56,0.698,0.68,-11.403,1,0.152,0.295,0.0,0.335,0.826,134.783,3.353333333333333,0,0,0,0,0,0,0,0,0,0,0
0,0.493,0.907,-6.062,0,0.0611,0.635,2.86e-05,0.903,0.743,126.44,5.184216666666667,0,0,0,1,0,0,0,0,0,0,0
0,0.633,0.881,-6.615,1,0.04,0.248,0.0,0.966,0.688,140.161,4.3097666666666665,0,0,0,1,0,0,0,0,0,0,0
51,0.612,0.939,-4.898,1,0.0971,0.607,2.63e-05,0.345,0.831,160.438,3.4911,0,0,0,0,0,0,1,0,0,0,0
74,0.602,0.905,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,5.080666666666667,0,1,0,0,0,0,0,0,0,0,0
78,0.674,0.789,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,2.019333333333333,0,0,0,0,0,0,0,1,0,0,0
74,0.624,0.91,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,3.2251,0,0,0,0,0,0,0,0,0,0,0
64,0.423,0.954,-3.157,0,0.047,0.0021,0.0,0.177,0.5,144.553,5.172433333333333,0,0,0,0,0,0,1,0,0,0,0
81,0.413,0.881,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,4.175766666666667,0,0,0,0,0,0,0,0,0,0,1
24,0.515,0.43,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,3.977333333333333,0,0,0,0,0,0,1,0,0,0,0
78,0.376,0.896,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,4.312883333333334,0,1,0,0,0,0,0,0,0,0,0
78,0.466,0.833,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,5.226216666666667,0,0,0,0,0,0,1,0,0,0,0
0,0.651,0.793,-7.312,0,0.0338,0.0538,0.01,0.137,0.682,90.573,3.87555,0,0,0,1,0,0,0,0,0,0,0
69,0.509,0.584,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,4.645766666666667,0,0,0,0,0,0,0,0,0,0,0
1,0.214,0.947,-5.053,1,0.0507,0.000552,0.00352,0.238,0.483,170.616,3.2268833333333333,0,0,0,1,0,0,0,0,0,0,0
77,0.668,0.921,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,3.54065,0,0,0,0,0,0,1,0,0,0,0
66,0.615,0.702,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987,3.90555,0,0,0,0,0,0,1,0,0,0,0
74,0.355,0.791,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,4.753333333333333,0,0,0,0,0,0,0,1,0,0,0
74,0.356,0.872,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,3.22755,0,1,0,0,0,0,0,0,0,0,0
82,0.666,0.855,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,4.473766666666666,0,0,0,0,0,0,0,0,1,0,0
77,0.654,0.81,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622,3.338433333333333,0,0,0,1,0,0,0,0,0,0,0
72,0.297,0.842,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,3.4462166666666665,0,0,0,0,0,1,0,0,0,0,0
77,0.578,0.817,-6.541,1,0.0363,0.183,2.85e-06,0.285,0.734,141.621,4.538216666666667,0,0,0,0,0,0,0,0,0,0,0
5,0.307,0.635,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,5.1071,0,0,0,0,0,0,1,0,0,0,0
78,0.545,0.865,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,3.8988833333333335,0,0,0,0,0,0,0,0,0,0,1
73,0.32,0.88,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4.91,0,1,0,0,0,0,0,0,0,0,0
82,0.818,0.705,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,3.7106666666666666,0,0,0,0,0,1,0,0,0,0,0
74,0.394,0.808,-6.209,0,0.0853,0.0759,0.0,0.149,0.736,100.649,3.391766666666667,0,0,0,0,0,0,0,1,0,0,0
2,0.478,0.923,-7.547,1,0.0569,2.7e-05,0.719,0.325,0.165,133.134,3.563333333333333,0,0,0,0,0,0,0,0,0,1,0
87,0.315,0.715,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,4.82555,0,0,0,0,0,0,0,0,0,0,1
3,0.522,0.707,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05,4.383333333333334,0,0,0,0,1,0,0,0,0,0,0
17,0.591,0.925,-5.247,0,0.0507,0.000419,1.23e-05,0.406,0.883,135.91,2.5211,0,0,0,1,0,0,0,0,0,0,0
27,0.362,0.899,-6.094,1,0.293,0.0221,0.000797,0.159,0.449,157.196,4.294,0,0,0,0,0,0,0,0,0,0,0
60,0.512,0.391,-10.4,1,0.0492,0.889,2.63e-06,0.714,0.277,138.094,3.89355,0,0,0,0,0,0,0,0,1,0,0
36,0.431,0.983,-3.97,0,0.0704,4.82e-05,5.9e-05,0.165,0.6,121.971,2.0933333333333333,0,0,0,0,0,0,0,0,0,0,1
63,0.581,0.731,-5.189,1,0.0289,0.192,0.0,0.405,0.579,127.582,3.892216666666666,0,0,0,0,0,0,1,0,0,0,0
47,0.381,0.267,-19.086,1,0.0687,0.979,0.00697,0.776,0.623,111.879,2.140433333333333,0,0,0,0,0,0,1,0,0,0,0
46,0.551,0.476,-8.094,1,0.0266,0.163,3.36e-05,0.108,0.217,78.887,4.172,1,0,0,0,0,0,0,0,0,0,0
49,0.19,0.352,-10.434,1,0.0308,0.537,0.0,0.165,0.174,49.286,3.31955,0,0,0,0,0,0,0,0,1,0,0
47,0.359,0.608,-8.902,1,0.0335,0.671,0.00143,0.993,0.273,102.221,3.622433333333333,0,0,0,0,0,0,1,0,0,0,0
37,0.612,0.47,-9.136,1,0.0344,0.367,0.000629,0.0932,0.333,153.839,3.9611,0,0,0,1,0,0,0,0,0,0,0
43,0.359,0.991,-3.688,1,0.121,0.000762,2.23e-05,0.0837,0.433,181.231,2.404433333333333,0,1,0,0,0,0,0,0,0,0,0
0,0.491,0.592,-8.804,0,0.0414,0.000236,0.0511,0.324,0.21,84.981,2.5176333333333334,0,0,0,0,0,0,1,0,0,0,0
0,0.392,0.723,-3.973,1,0.0475,0.00151,0.0254,0.332,0.498,75.305,3.6706666666666665,0,0,0,0,0,0,0,1,0,0,0
